question_id,question,attempt,answer,fact_score,retrieval_time,factchecking_time,atomic_token,checking_token
26,What is Ailee's birth name?,1,Ailee's birth name is Amy Lee.,0.00012340980408667956,5.34,6.74,833.33,1726.67
26,What is the birth name of the South Korean-American singer Ailee?,2,The birth name of the South Korean-American singer Ailee is Amy Lee.,0.01831563888873418,4.4,4.39,850.67,3472.0
26,"What is Ailee's birth name, the South Korean-American singer known for her powerful vocals?",3,Ailee's birth name is Amy Lee.,0.00012340980408667956,1.16,3.37,833.33,1738.67
3,What year did Charles Frac,1,I don't know.,0.0,4.98,5.97,894.67,1505.33
3,"To refine the question for clarity and specificity, you could ask: ""What year did Charles Francis Richter develop the Richter scale?""",2,Charles Francis Richter developed the Richter scale in 1935.,0.01831563888873418,1.56,10.94,902.67,114.67
3,"""What year did Charles Francis Richter first introduce the Richter scale for measuring earthquake magnitude?""",3,Charles Francis Richter first introduced the Richter scale in 1935.,0.01831563888873418,0.96,5.09,904.0,100.0
4,What is Gene Simmons' birth name?,1,Gene Simmons' birth name is Chaim Witz.,0.09697196786440505,4.34,7.18,834.67,4762.67
4,"What was the birth name of Gene Simmons, the bassist and co-lead singer of the rock band KISS?",2,The birth name of Gene Simmons is Chaim Witz.,0.09697196786440505,1.28,10.96,928.0,4988.0
4,"What is the birth name of Gene Simmons, the co-lead singer and bassist of the rock band KISS, and when was he born?",3,"Gene Simmons was born as Chaim Witz on August 25, 1949.",0.01831563888873418,1.13,6.66,849.33,3337.33
25,What position did Thomas William Miller play during his football career?,1,Thomas William Miller played as a midfielder during his football career.,0.06464797857627003,4.76,10.12,929.33,5269.33
25,What was the primary position that Thomas William Miller played in professional football?,2,Thomas William Miller played as a midfielder in professional football.,0.01831563888873418,2.24,5.96,928.0,3517.33
25,What position did Thomas William Miller primarily play during his professional football career?,3,Thomas William Miller primarily played as a forward during his professional football career.,0.09697196786440505,1.62,5.55,932.0,145.33
29,What is the stage name of Bruno Beausir?,1,The stage name of Bruno Beausir is Doc Gynéco.,0.09697196786440505,5.09,10.43,928.0,5068.0
29,What is the stage name used by the artist Bruno Beausir in his musical career?,2,The stage name used by the artist Bruno Beausir in his musical career is Doc Gynéco.,0.22313016014842982,1.47,7.4,912.0,6512.0
29,"What is the stage name of the musician Bruno Beausir, known for his work in the music industry?",3,"The stage name of the musician Bruno Beausir is ""Bruno Mars.""",0.09697196786440505,1.34,5.66,930.67,160.0
21,What political party is Albio Sires a member of?,1,Albio Sires is a member of the Democratic Party.,0.01831563888873418,5.42,18.78,920.0,3165.33
21,What is the political party affiliation of Albio Sires as of 2023?,2,Albio Sires is a member of the Democratic Party.,0.00012340980408667956,0.86,2.77,920.0,1673.33
21,"What is the political party affiliation of Albio Sires, the U.S. Representative from New Jersey, as of 2023?",3,Albio Sires is a member of the Democratic Party.,0.01831563888873418,1.06,3.56,920.0,3362.67
20,What was the title of Giulio Caccini's most influential work published in 1602?,1,"The title of Giulio Caccini's most influential work published in 1602 is ""Le nuove musiche.""",0.09697196786440505,5.22,9.21,845.33,4642.67
20,"What is the name of Giulio Caccini's 1602 publication that is considered his most influential work, particularly in the development of early opera?",2,"The name of Giulio Caccini's 1602 publication that is considered his most influential work, particularly in the development of early opera, is ""Le nuove musiche.""",0.22313016014842982,2.07,8.94,949.33,6246.67
20,What is the title of Giulio Caccini's 1602 publication that is regarded as a key work in the early development of opera?,3,"The title of Giulio Caccini's 1602 publication that is regarded as a key work in the early development of opera is ""Le nuove musiche.""",0.36787944117144233,1.9,7.61,857.33,7813.33
22,What position did Vano Siradeghyan hold from 1992 to 1996?,1,Vano Siradeghyan served as the Minister of Internal Affairs from 1992 to 1996.,0.09697196786440505,5.25,13.38,878.67,4197.33
22,What was Vano Siradeghyan's role or title within the Armenian government from 1992 to 1996?,2,Vano Siradeghyan served as the Minister of Internal Affairs of Armenia from 1992 to 1996.,0.01831563888873418,1.64,3.23,881.33,2821.33
22,"""What government position did Vano Siradeghyan hold in Armenia between 1992 and 1996?""",3,Vano Siradeghyan served as the Minister of Internal Affairs of Armenia between 1992 and 1996.,0.36787944117144233,1.54,6.29,961.33,7034.67
8,What is the name of the restaurant that Rajinder Tony Singh Kusbia became the Chef Patron of in 2001?,1,"The name of the restaurant that Rajinder Tony Singh Kusbia became the Chef Patron of in 2001 is ""Oloroso.""",0.09697196786440505,4.44,7.55,916.0,4309.33
8,"What restaurant did Rajinder Tony Singh Kusbia become the Chef Patron of in 2001, and what is its location?",2,"Rajinder Tony Singh Kusbia became the Chef Patron of ""Oloroso,"" which is located on Castle Street, Edinburgh, in 2001.",0.36787944117144233,1.26,13.21,916.0,7169.33
8,"""What is the name and location of the restaurant where Rajinder Tony Singh Kusbia became the Chef Patron in 2001?""",3,"The name of the restaurant where Rajinder Tony Singh Kusbia became the Chef Patron in 2001 is ""Oloroso,"" and it is located on Castle Street, Edinburgh.",0.22313016014842982,2.37,6.7,925.33,3220.0
11,What year was William Martin Morris appointed as the bishop of the Toowoomba diocese?,1,William Martin Morris was appointed as the bishop of the Toowoomba diocese in 1992.,0.09697196786440505,4.15,6.96,909.33,4593.33
11,In what year did William Martin Morris begin his tenure as the bishop of the Toowoomba diocese?,2,William Martin Morris began his tenure as the bishop of the Toowoomba diocese in 1992.,0.06464797857627003,1.42,16.75,930.67,4610.67
11,"""What year was William Martin Morris consecrated as the bishop of the Toowoomba diocese?""",3,William Martin Morris was consecrated as the bishop of the Toowoomba diocese on 10 February 1993.,0.22313016014842982,0.92,5.6,904.0,6114.67
23,What position does Jerrold D. Green currently hold at the Pacific Council on International Policy?,1,Jerrold D. Green currently holds the position of president and chief executive officer at the Pacific Council on International Policy.,0.513417119032592,4.51,20.41,870.67,9288.0
23,What is Jerrold D. Green's current title or role at the Pacific Council on International Policy?,2,Jerrold D. Green is the president and chief executive officer of the Pacific Council on International Policy.,0.09697196786440505,1.48,6.01,914.67,4657.33
23,"""What position does Jerrold D. Green currently hold at the Pacific Council on International Policy?""",3,Jerrold D. Green currently holds the position of president and chief executive officer at the Pacific Council on International Policy.,0.22313016014842982,1.06,5.36,870.67,4592.0
